Orden,Fase,Bloque,ID,Tarea,Tipo,Prioridad,Estado,Horas Est.,Descripción,Depende De,Origen
1,Pre-búsqueda de usuarios,01 Deploy & Producción,D-01,Configurar hosting Vercel + dominio caussa.cl,Infra/Manual,Crítica,Hecho,3.0,"Vincular repo a Vercel. Configurar dominio caussa.cl (DNS → hosting). SSL automático. Variables de entorno producción: NEXT_PUBLIC_SUPABASE_URL + NEXT_PUBLIC_SUPABASE_ANON_KEY + SUPABASE_SERVICE_ROLE_KEY + GOOGLE_API_KEY + ANTHROPIC_API_KEY + NEXT_PUBLIC_SITE_URL=https://caussa.cl. Actualizar CONFIG.DASHBOARD_URL en extension/lib/config.js para producción.",-,PENDIENTES.md (P1)
2,Pre-búsqueda de usuarios,01 Deploy & Producción,D-02,Secrets Supabase Edge Function,Infra/Manual,Crítica,Hecho,0.5,"Supabase Dashboard → Edge Functions → Secrets. Agregar APP_URL (URL de producción Vercel) + PIPELINE_SECRET_KEY (misma que .env.local línea 6). Sin esto la Edge Function falla con 'Configuración incompleta'.",D-01,pending-production-setup.md (Paso 3)
3,Pre-búsqueda de usuarios,01 Deploy & Producción,D-03,Database Webhook processing_queue → Edge Function,Infra/Manual,Crítica,Hecho,0.5,"Supabase Dashboard → Database → Webhooks → Create. Name: trigger-process-pdf | Table: processing_queue | Event: INSERT | Type: Supabase Edge Function | Function: process-pdf. Segundo camino redundante de procesamiento para producción.",D-02,pending-production-setup.md (Paso 4)
4,Pre-búsqueda de usuarios,01 Deploy & Producción,D-04,Configurar CRON_SECRET + disparador nocturno Reaper,Infra/Config,Alta,Hecho,1.0,"Agregar CRON_SECRET en .env.local y en producción. Configurar cron nocturno (Vercel Cron / GitHub Actions / cron-job.org) → GET /api/cron/reaper con Authorization: Bearer CRON_SECRET. Código ya implementado. Probar primero con ?dryRun=true.",D-01,PENDIENTES.md (P3)
5,Pre-búsqueda de usuarios,01 Deploy & Producción,D-05,Verificar deploy end-to-end,QA/Manual,Alta,Pendiente,1.0,"Post-deploy: confirmar https://caussa.cl/privacidad y /terminos cargan. Verificar Edge Function logs sin errores. Subir PDF de prueba y confirmar pipeline processing_queue → extracted_texts → completed. Probar login magic link en producción.",D-03,PENDIENTES.md (P1) + pending-production-setup.md
6,Pre-búsqueda de usuarios,02 Chrome Web Store,CWS-01,Minificar y bundlear extensión (Webpack),Código,Alta,Pendiente,4.0,"Instalar webpack + webpack-cli + terser-webpack-plugin + copy-webpack-plugin. Crear webpack.extension.config.js con 4 entry points (content/sw/sidepanel/interceptor). Agregar module.exports a cada módulo scraper + require() en content.js. Manifest producción sin localhost. Scripts build:ext y build:ext:watch en package.json. dist-extension/ en .gitignore. Resultado: 16 archivos → 4 bundles minificados sin comentarios.",-,minificar_bundlear.md + proteccion_competencia.md
7,Pre-búsqueda de usuarios,02 Chrome Web Store,CWS-02,Publicar extensión en Chrome Web Store,Manual,Crítica,Pendiente,2.0,"Crear cuenta desarrollador Chrome Web Store ($5 USD). Empaquetar dist-extension/ como .zip (NUNCA extension/). Subir con URL privacidad: https://caussa.cl/privacidad. Esperar revisión (puede tomar días). Actualizar href '#extension' en src/app/page.tsx con URL real de Chrome Web Store.",D-01 + CWS-01,PENDIENTES.md (P2)
8,Pre-búsqueda de usuarios,03 Legal & Regulatorio,L-01,Revisión legal TOS + Privacidad con abogado,Legal/Manual,Alta,Pendiente,4.0,"Revisar /terminos y /privacidad con abogado especialista Ley 19.628 (protección datos personales). Verificar coherencia entre modal consentimiento extensión y política web. Si se modifica texto → actualizar CONSENT_VERSION en extension/sidepanel.js. Verificar requisitos Chrome Web Store para extensiones con datos sensibles.",-,PENDIENTES.md (P4)
9,Pre-búsqueda de usuarios,03 Legal & Regulatorio,L-02,Registro marca Caussa en INAPI,Legal/Manual,Alta,Pendiente,4.0,"Solicitud online inapi.cl ANTES de lanzamiento público. Clases Niza: 9 (software como producto) + 42 (SaaS). Evaluar clase 45 (servicios jurídicos) con abogado PI. Costo sin abogado ~$200-220K CLP. Con asesoría ~$330K CLP. Plazo estimado 6-8 meses. Pago inicial 1 UTM + publicación Diario Oficial + pago final 2 UTM/clase.",-,proteccion_competencia.md
10,Pre-búsqueda de usuarios,04 Comercial,COM-01,Activar cargo automático Flow.cl,Comercial/Manual,Alta,Pendiente,2.0,"Contactar comercial@flow.cl o activar desde panel Flow. Requiere sitio web publicado. Probar flujo completo suscripción con tarjeta real: /api/flow/subscribe → redirect tarjeta → /api/flow/callback → plan_type actualizado. 3 planes CLP: Básico $16.990 + Pro $49.990 + Ultra $89.990.",D-01,PENDIENTES.md (P5)
11,Pre-búsqueda de usuarios,05 Seguridad & IP,S-01,GitHub Secret Protection,Config/Manual,Media,Pendiente,0.5,"Habilitar GitHub Secret Protection (Settings → Code security → Secret scanning) para prevenir leaks de API keys y credenciales en commits. Verificar que .env y credentials NO estén en historial de commits.",-,proteccion_competencia.md
12,Pre-búsqueda de usuarios,05 Seguridad & IP,S-02,Verificar source maps desactivados en producción,Config/Manual,Alta,Pendiente,0.5,"Confirmar que next.config.ts NO tiene productionBrowserSourceMaps: true. En Vercel Settings: NO desactivar 'Build Logs and Source Protection'. Esto protege código server-side (API routes + prompts + RAG pipeline + sync). El código de la extensión se protege con minificación (CWS-01).",D-01,proteccion_competencia.md
13,Post-búsqueda de usuarios,06 Legal (Diferible),L-03,Registro software DDI (Derechos de Autor),Legal/Manual,Media,Pendiente,4.0,"Registro formal en propiedadintelectual.gob.cl (Departamento Derechos Intelectuales). Ley 17.336 protege automáticamente desde creación pero registro aporta prueba de autoría y fecha. Preparar: copia código fuente server-side (prompts + RAG + pipeline) + manual funcionamiento + declaración jurada participantes + copia licencias terceros. Protección: vida autor + 70 años.",-,proteccion_competencia.md
14,Post-búsqueda de usuarios,07 Refinamiento Código,RC-01,Vistas de Casos — Refinamiento UI (Kanban 5.01),Código,Alta,Pendiente,9.0,"Dashboard básico ya existe (ROL + tribunal + conteo docs + indicador sync). Falta: badges PRINCIPALES de procedimiento color-coded (Ordinario/Ejecutivo/Sumario/Monitorio/Voluntario) desde cases.procedimiento + badges SECUNDARIOS libro_tipo (c/v/e/a/f/i). Organización documentos por cuaderno → tipo (resoluciones/escritos/actuaciones). Indicadores estado pipeline (pendiente OCR/procesando/listo IA). Badge 'Nuevo' en documentos recientes. Filtro principal por procedimiento + secundario por libro_tipo. Sidepanel extensión: alinear con mismos badges y estructura.",-,Kanban_MVP_V1.csv (5.01)
15,Post-búsqueda de usuarios,08 Optimización,PL-01,Fix embeddings parciales por rate limit Gemini,Código,Media,Pendiente,3.0,"Agregar throttle/delay entre batches de embeddings en pipeline. Endpoint de reprocesamiento para documentos afectados. Query diagnóstico: SELECT docs donde count(chunks) > count(embeddings). Ejecutar cuando se detecte en causas grandes de usuarios reales.",-,PENDIENTES.md (P6)
16,Post-búsqueda de usuarios,08 Optimización,PL-02,Análisis de costos por causa,Investigación,Media,Pendiente,4.0,"Instrumentar pipeline para loggear páginas procesadas: Document AI ($1.50/1K págs) vs pdf-parse ($0). Verificar tipo procesador Document AI (OCR $1.50/1K vs Form Parser $30/1K — usar OCR). Hacer 5-10 syncs de causas variadas y medir costo real. Evaluar Tesseract como procesador primario y Document AI solo como fallback.",-,PENDIENTES.md (P7)
17,Post-búsqueda de usuarios,09 QA,PL-03,Test Suite & QA Pipeline (Kanban 8.01),Código,Media,Pendiente,12.0,"Configurar framework testing (Vitest). Fixtures con 3+ causas reales indexadas (ordinaria + ejecutiva + sumaria). Tests pipeline: sync → OCR → chunking → embeddings. Tests RAG multi-procedimiento: 10+ queries ordinario + 10+ ejecutivo + 5+ sumario con expected answers. Tests E2E: flujo completo sync extensión → procesamiento → chat con citas. Tests regresión: cambios en prompts no degradan calidad. Validar expected answers con abogado.",-,Kanban_MVP_V1.csv (8.01) + PENDIENTES.md (P8)
18,Post-búsqueda de usuarios,10 Anti-abuso,PL-04,Fingerprinting Shield (Kanban 4.05),Código,Baja,Pendiente,3.0,"FingerprintJS en flujo auth. Genera visitorId → si dispositivo ya usó Free → bloquear nueva cuenta gratuita → redirect a Pricing. DEPRIORITIZADO: ejecutar solo si se detecta abuso real del plan Free. Helpers ya existen en profile-helpers.ts pero sin uso. Columna device_fingerprint ya existe en profiles.",-,Kanban_MVP_V1.csv (4.05)
